Age,Height,Weight,Gender,injury,equipment,level,Exercise
27,177,84,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,177,86,male,Upper,Body Only,Beginner,Arom Side lying Abduction
29,177,88,male,Lower,Body Only,Beginner,Air Squat
30,177,90,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,177,92,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,177,94,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,177,96,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,177,98,male,Upper,Body Only,Beginner,Arom Side lying Abduction
35,177,100,male,Lower,Body Only,Beginner,Air Squat
20,157,82,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,157,83,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,157,84,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,157,85,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,157,86,female,Upper,Body Only,Beginner,Arom Side lying Abduction
25,157,87,female,Lower,Body Only,Beginner,Air Squat
26,157,88,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,157,89,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,157,90,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,157,91,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,157,92,female,Upper,Body Only,Beginner,Arom Side lying Abduction
31,157,93,female,Lower,Body Only,Beginner,Air Squat
32,157,94,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,157,95,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,157,96,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,157,97,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,178,71,male,Upper,Body Only,Beginner,Arom Side lying Abduction
21,178,73,male,Lower,Body Only,Beginner,Air Squat
22,178,75,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,178,77,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,178,79,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,178,81,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,178,83,male,Upper,Body Only,Beginner,Arom Side lying Abduction
27,178,85,male,Lower,Body Only,Beginner,Air Squat
28,178,87,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,178,89,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,178,91,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,178,93,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,178,95,male,Upper,Body Only,Beginner,Arom Side lying Abduction
33,178,97,male,Lower,Body Only,Beginner,Air Squat
34,178,99,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,178,101,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,158,50,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,158,52,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,158,54,female,Upper,Body Only,Beginner,Arom Side lying Abduction
23,158,56,female,Lower,Body Only,Beginner,Air Squat
24,158,58,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,158,60,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,158,62,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,158,64,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,158,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
29,158,68,female,Lower,Body Only,Beginner,Air Squat
30,158,70,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,158,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,158,74,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,158,76,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,158,78,female,Upper,Body Only,Beginner,Arom Side lying Abduction
35,158,80,female,Lower,Body Only,Beginner,Air Squat
20,179,70,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,179,72,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,179,74,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,179,76,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,179,78,male,Upper,Body Only,Beginner,Arom Side lying Abduction
25,179,80,male,Lower,Body Only,Beginner,Air Squat
26,179,82,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,179,84,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,179,86,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,179,88,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,179,90,male,Upper,Body Only,Beginner,Arom Side lying Abduction
31,179,92,male,Lower,Body Only,Beginner,Air Squat
32,179,94,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,179,96,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,179,98,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,179,100,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,159,51,female,Upper,Body Only,Beginner,Arom Side lying Abduction
21,159,53,female,Lower,Body Only,Beginner,Air Squat
22,159,55,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,159,57,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,159,59,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,159,61,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,159,63,female,Upper,Body Only,Beginner,Arom Side lying Abduction
27,159,65,female,Lower,Body Only,Beginner,Air Squat
28,159,67,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,159,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,159,71,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,159,73,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,159,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
33,159,77,female,Lower,Body Only,Beginner,Air Squat
34,159,79,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,159,81,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,180,71,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,180,73,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,180,75,male,Upper,Body Only,Beginner,Arom Side lying Abduction
23,180,77,male,Lower,Body Only,Beginner,Air Squat
24,180,79,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,180,81,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,180,83,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,180,89,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,180,85,male,Upper,Body Only,Beginner,Arom Side lying Abduction
29,180,87,male,Lower,Body Only,Beginner,Air Squat
30,180,91,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,180,93,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,180,95,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,180,97,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,180,99,male,Upper,Body Only,Beginner,Arom Side lying Abduction
35,180,98,male,Lower,Body Only,Beginner,Air Squat
20,160,55,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,160,57,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,160,59,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,160,61,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,160,63,female,Upper,Body Only,Beginner,Arom Side lying Abduction
25,160,65,female,Lower,Body Only,Beginner,Air Squat
26,160,67,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,160,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,160,71,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,160,73,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,160,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
31,160,77,female,Lower,Body Only,Beginner,Air Squat
32,160,79,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,160,81,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,160,83,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,160,85,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,160,56,female,Upper,Body Only,Beginner,Arom Side lying Abduction
21,160,58,female,Lower,Body Only,Beginner,Air Squat
22,160,60,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,160,62,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,160,64,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,160,66,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,160,68,female,Upper,Body Only,Beginner,Arom Side lying Abduction
27,160,70,female,Lower,Body Only,Beginner,Air Squat
28,160,72,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,160,74,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,160,76,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,160,78,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,160,80,female,Upper,Body Only,Beginner,Arom Side lying Abduction
33,160,82,female,Lower,Body Only,Beginner,Air Squat
34,160,84,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,160,86,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,181,75,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,181,76,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,181,77,male,Upper,Body Only,Beginner,Arom Side lying Abduction
23,181,78,male,Lower,Body Only,Beginner,Air Squat
24,181,79,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,181,80,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,181,81,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,181,82,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,181,83,male,Upper,Body Only,Beginner,Arom Side lying Abduction
29,181,84,male,Lower,Body Only,Beginner,Air Squat
30,181,85,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,181,86,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,181,87,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,181,89,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,181,90,male,Upper,Body Only,Beginner,Arom Side lying Abduction
35,181,91,male,Lower,Body Only,Beginner,Air Squat
20,181,92,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,181,93,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,181,94,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,181,95,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,181,96,male,Upper,Body Only,Beginner,Arom Side lying Abduction
25,181,97,male,Lower,Body Only,Beginner,Air Squat
26,181,98,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,181,99,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,181,100,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,181,101,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,181,75,male,Upper,Body Only,Beginner,Arom Side lying Abduction
31,181,76,male,Lower,Body Only,Beginner,Air Squat
32,181,77,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,181,78,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,181,79,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,181,80,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,161,57,female,Upper,Body Only,Beginner,Arom Side lying Abduction
21,161,58,female,Lower,Body Only,Beginner,Air Squat
22,161,59,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,161,60,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,161,61,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,161,62,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,161,63,female,Upper,Body Only,Beginner,Arom Side lying Abduction
27,161,64,female,Lower,Body Only,Beginner,Air Squat
28,161,65,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,161,66,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,161,67,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,161,68,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,161,69,female,Upper,Body Only,Beginner,Arom Side lying Abduction
33,161,70,female,Lower,Body Only,Beginner,Air Squat
34,161,71,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,161,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,161,73,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,161,74,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,161,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
23,161,76,female,Lower,Body Only,Beginner,Air Squat
24,161,78,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,161,79,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,161,77,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,161,80,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,161,81,female,Upper,Body Only,Beginner,Arom Side lying Abduction
29,161,82,female,Lower,Body Only,Beginner,Air Squat
30,161,83,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,161,84,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,161,85,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,161,86,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,161,87,female,Upper,Body Only,Beginner,Arom Side lying Abduction
35,161,88,female,Lower,Body Only,Beginner,Air Squat
20,182,76,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,182,77,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,182,79,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,182,80,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,182,81,male,Upper,Body Only,Beginner,Arom Side lying Abduction
25,182,82,male,Lower,Body Only,Beginner,Air Squat
26,182,83,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,182,84,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,182,85,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,182,86,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,182,87,male,Upper,Body Only,Beginner,Arom Side lying Abduction
31,182,89,male,Lower,Body Only,Beginner,Air Squat
32,182,88,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,182,90,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,182,91,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,182,92,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,182,93,male,Upper,Body Only,Beginner,Arom Side lying Abduction
21,182,94,male,Lower,Body Only,Beginner,Air Squat
22,182,95,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,182,96,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,182,97,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,182,98,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,182,99,male,Upper,Body Only,Beginner,Arom Side lying Abduction
27,182,100,male,Lower,Body Only,Beginner,Air Squat
28,182,101,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,182,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,182,84,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,182,83,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,182,82,male,Upper,Body Only,Beginner,Arom Side lying Abduction
33,182,81,male,Lower,Body Only,Beginner,Air Squat
34,182,80,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,182,79,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,183,75,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,183,77,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,183,79,male,Upper,Body Only,Beginner,Arom Side lying Abduction
23,183,82,male,Lower,Body Only,Beginner,Air Squat
24,183,85,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,183,88,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,183,87,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,183,92,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,183,94,male,Upper,Body Only,Beginner,Arom Side lying Abduction
29,183,96,male,Lower,Body Only,Beginner,Air Squat
30,183,97,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,183,98,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,183,99,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,183,100,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,183,101,male,Upper,Body Only,Beginner,Arom Side lying Abduction
35,183,93,male,Lower,Body Only,Beginner,Air Squat
20,162,77,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,162,80,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,162,81,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,162,82,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,162,83,female,Upper,Body Only,Beginner,Arom Side lying Abduction
25,162,84,female,Lower,Body Only,Beginner,Air Squat
26,162,85,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,162,86,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,162,87,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,162,88,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,162,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
31,162,74,female,Lower,Body Only,Beginner,Air Squat
32,162,73,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,162,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,162,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,162,67,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,162,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
21,162,65,female,Lower,Body Only,Beginner,Air Squat
22,162,64,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,162,63,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,162,62,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,162,61,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,162,59,female,Upper,Body Only,Beginner,Arom Side lying Abduction
27,162,58,female,Lower,Body Only,Beginner,Air Squat
28,162,57,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,162,56,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,162,55,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,162,59,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,163,77,female,Upper,Body Only,Beginner,Arom Side lying Abduction
33,163,80,female,Lower,Body Only,Beginner,Air Squat
34,163,81,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,163,82,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,163,83,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,163,84,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,163,85,female,Upper,Body Only,Beginner,Arom Side lying Abduction
23,163,86,female,Lower,Body Only,Beginner,Air Squat
24,163,87,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,163,88,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,163,75,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,163,74,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,163,73,female,Upper,Body Only,Beginner,Arom Side lying Abduction
29,163,72,female,Lower,Body Only,Beginner,Air Squat
30,163,70,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,163,67,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,163,66,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,163,65,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,163,64,female,Upper,Body Only,Beginner,Arom Side lying Abduction
35,163,63,female,Lower,Body Only,Beginner,Air Squat
20,184,80,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,184,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,184,83,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
